name,price,score,review,reviews_amount
Grand Baltic Dunes,€ 401,8.8,Excellent,"4,933"
Orange Holiday,€ 326,9.8,Exceptional,125
Kerpė Hotel & SPA,€ 460,8.9,Excellent,"1,304"
Jurates apartaments,€ 186,8.9,Excellent,86
Žilvinas Hotel,€ 723,9.1,Wonderful,688
"Gražus butas, ramioje kaiminystėje, netoli jūros",€ 303,8.7,Excellent,3
Ramybės Oazė,€ 218,9.2,Wonderful,4
Arciau Juros,€ 396,9.3,Wonderful,281
Aviatorvila,€ 181,8.5,Very Good,40
Guest House Nika - Cottages and rooms in the heart of Palanga city center,€ 201,10,Exceptional,7
Gabija Hotel & SPA,€ 786,8.7,Excellent,"2,928"
Senoji Hansa Hotel,€ 486,9.2,Wonderful,"1,345"
Neringos 22,€ 141,8.5,Very Good,164
Apartamentai Auska,€ 246,8.2,Very Good,581
2NIGHT in Šventoji,€ 346,9.3,Wonderful,192
Sveciu namai Audra,€ 321,8.7,Excellent,242
Baltas Namas,€ 336,9.2,Wonderful,295
3 ruoniai,€ 239,8.6,Excellent,5
Arno Namai,€ 239,9.3,Wonderful,122
Vila Ramybe,€ 336,8.6,Excellent,579
Seaside apartments,€ 421,9.4,Wonderful,450
"Palanga Park Hotel, Tubinas Hotels",€ 399,8.1,Very Good,"2,277"
Vila Ieva,€ 375,9.4,Wonderful,323
Vila Ieva,€ 375,9.4,Wonderful,323
Mociutes Palanga,€ 156,8.9,Excellent,193
Svečių namai pajuryje,€ 246,10,Exceptional,1
Vila Arona,€ 166,9.6,Exceptional,180
Jurates apartaments,€ 186,8.9,Excellent,86
Vytauto 50a,€ 173,7.3,Good,68
Vila Levita,€ 546,9.5,Exceptional,369
Gerika guest house,€ 339,9.4,Wonderful,242
White Rainbow šeimos apartamentai,€ 456,9.0,Wonderful,3
Guest House & Villa Astoma,€ 386,9.1,Wonderful,880
Žilvinas Hotel,€ 723,9.1,Wonderful,688
Vila Uosis,€ 216,8.8,Excellent,303
"Poilsio namai ""Vyturys""",€ 163,6.8,Review score,"1,227"
Vila Domino,€ 246,9.2,Wonderful,286
Seaside Central Hotel,€ 456,8.2,Very Good,110
Edžio apartamentai,€ 333,9.6,Exceptional,69
Pajūrio Gintaro namai,€ 246,8.7,Excellent,286
Vila Elena,€ 204,9.3,Wonderful,131
"''MB'' apartamentai Mano jūra 2 komplekse, Kunigiškiai",€ 263,9.6,Exceptional,7
Meduza Hotel,€ 405,8.7,Excellent,577
Agava,€ 246,9.3,Wonderful,362
Gedimino 1,€ 333,9.1,Wonderful,250
Viešbutis Prie Fontano,€ 366,8.1,Very Good,446
Vila Elvina,€ 304,9.3,Wonderful,364
Alka Boutique Apartments & SPA,€ 384,7.5,Good,548
Labas Rytas Vila,€ 574,9.3,Wonderful,726
Šalia Birutės parko 2,€ 222,8.1,Very Good,10
"Gražus butas, ramioje kaiminystėje, netoli jūros",€ 312,8.7,Excellent,3
Raze,€ 310,8.0,Very Good,335
Stase,€ 186,6.9,Review score,416
Apartamentai Druskininkų 7B,€ 253,9.6,Exceptional,303
JūraSpot,€ 306,9.0,Wonderful,30
Arciau Juros,€ 396,9.3,Wonderful,281
Apartamentai Pas Aldoną,€ 186,9.2,Wonderful,40
Vila Vakaré,€ 261,8.5,Very Good,139
Cozy Apartment Pool View,€ 294,9.0,Wonderful,13
V&V Apartments,€ 330,10,Exceptional,1
Ramybes sala,€ 174,9.4,Wonderful,246
Atostogų Parkas Hotel,€ 624,8.9,Excellent,"2,946"
Astos Vila,€ 246,9.3,Wonderful,548
Senoji Hansa Hotel,€ 486,9.2,Wonderful,"1,345"
Smiltelės Apartamentai Booking Palanga LT,€ 448,8.3,Very Good,32
Altas,€ 225,8.2,Very Good,49
Igno Palėpė,€ 246,9.5,Exceptional,39
Diamond Beach Apartments,€ 261,10,Exceptional,6
Rooms in Palanga,€ 159,9.3,Wonderful,135
Izabelės apartamentai,€ 188,9.2,Wonderful,602
Palanga 777,€ 216,7.0,Good,382
I&M Palanga,€ 306,10,Exceptional,12
Guest House Nika - Cottages and rooms in the heart of Palanga city center,€ 207,10,Exceptional,7
Adelės Vila,€ 195,9.4,Wonderful,178
Nykštukų nameliai,€ 82,7.4,Good,92
Vila Komoda,€ 699,9.4,Wonderful,336
Guest house Rasa,€ 156,9.4,Wonderful,120
Apartamentai Auska,€ 246,8.2,Very Good,581
Palangos Svečių Namai,€ 216,7.7,Good,143
Liepų takas,€ 307,9.9,Exceptional,32
Bangų namai - PALANGA apartamentai (su terasa),€ 892,10,Exceptional,1
Bangų namai - PALANGA apartamentai,€ 947,10,Exceptional,2
Svečių namai Tuopa Nemirsetoje Palangoje,€ 187,9.0,Wonderful,3
Moulin Apartamentai,€ 362,8.9,Excellent,32
Baltieji apartamentai,€ 399,9.7,Exceptional,20
Elena apartments,€ 344,8.8,Excellent,28
Kunigiskes103,€ 180,8.4,Very Good,76
Edmundas,€ 168,8.0,Very Good,65
Atostogų namai Mėta,€ 222,8.8,Excellent,115
Apartment Sunny Smile,€ 351,9.3,Wonderful,20
Poilsis pas Virginiją,€ 387,9.5,Exceptional,49
Apartmentai Baltoji Ramune,€ 102,7.6,Good,61
Mar Baltico Palanga Apartment,€ 426,9.6,Exceptional,24
Green House,€ 846,8.8,Excellent,44
Sveciu Namas 9,€ 369,9.3,Wonderful,117
Eimio Vila,€ 396,8.8,Excellent,96
Apartamentai Auska,€ 246,8.2,Very Good,581
Vila Tekila,€ 426,7.9,Good,86
Columba Livia Guesthouse,€ 606,8.2,Very Good,157
Po Kastonu & SPA,€ 426,8.1,Very Good,251
Vila Siesta,€ 303,9.5,Exceptional,57
3 ruoniai,€ 246,8.6,Excellent,5
Palanga Mickevičiaus 8 apartments,€ 331,8.8,Excellent,61
Palangos Vila Apartments,€ 336,9.5,Exceptional,77
Alintoma Holiday apartment,€ 433,9.8,Exceptional,56
Kurortas Apartments,€ 276,8.9,Excellent,66
Apartamentai šalia baseino,€ 486,8.2,Very Good,173
Amsterdam Plaza Hotel & SPA,€ 765,9.0,Wonderful,668
Vasaros apartamentai 3,€ 231,8.2,Very Good,37
Medziotoju kiemelis,€ 336,8.8,Excellent,279
Tauras Center Hotel,€ 576,8.9,Excellent,994
Po Jūros Banga,€ 282,9.5,Exceptional,110
Bella Vila,€ 420,9.3,Wonderful,323
Charming two bedroom apartment - Self check in,€ 413,9.7,Exceptional,23
Ošia ošia apartamentai,€ 465,9.5,Exceptional,20
VIRGIN APARTAMENTAI,€ 381,9.4,Wonderful,16
Kunigiskes apartment,€ 381,8.7,Excellent,38
Vytauto 91,€ 204,7.3,Good,18
Orange Holiday,€ 310,9.8,Exceptional,125
Alkos namų apartamentai,€ 510,8.8,Excellent,58
D&D apartments 5,€ 361,9.7,Exceptional,10
Maironio 25,€ 373,8.7,Excellent,30
Žvejų apartamentai,€ 336,9.1,Wonderful,7
livingpalanga- Meta12,€ 276,9.0,Wonderful,37
Edžio apartamentai,€ 333,9.6,Exceptional,69
Devintoji Banga,€ 256,9.4,Wonderful,42
Palangos Grafų Lankos Nr-5,€ 296,9.0,Wonderful,2
Perlas Cokolyje,€ 210,7.3,Good,12
Pas Elvyrą,€ 176,8.9,Excellent,87
Pas Stanislavą,€ 240,9.7,Exceptional,54
Vasaros apartamentas Nr3,€ 180,7.7,Good,18
Meduza Hotel,€ 405,8.7,Excellent,577
Agava,€ 246,9.3,Wonderful,362
Cozy apartment by the sea,€ 516,8.4,Very Good,9
Viešbutis Prie Fontano,€ 366,8.1,Very Good,446
Vila Elvina,€ 304,9.3,Wonderful,364
Apartamentai Sunny beach,€ 535,9.6,Exceptional,7
ToVa Apartamentai,€ 585,10,Exceptional,1
P7 Palanga,€ 426,8.6,Excellent,116
Vanagupės g 7H-2,€ 405,9.4,Wonderful,5
Cuprum Poilsis,€ 696,9.7,Exceptional,47
Saulėlydžio apartamentai,€ 276,9.3,Wonderful,63
Vytauto 50a,€ 173,7.3,Good,68
Guest house Vilma,€ 201,9.3,Wonderful,66
Apartment Ieva,€ 420,9.6,Exceptional,39
Žuvėdra,"€ 1,406",8.7,Excellent,"2,347"
Rest in Palanga,€ 166,8.7,Excellent,522
Hotel Pušų paunksnėje,"€ 1,203",9.6,Exceptional,370
White Rainbow šeimos apartamentai,€ 456,9.0,Wonderful,3
Emolta apart,€ 342,9.0,Wonderful,2
Studija VANAGUPĖS 13,€ 249,9.2,Wonderful,53
Centro Apartment,€ 221,8.3,Very Good,15
Apartamentai Vytauto g 103A,€ 396,8.8,Excellent,26
VIRGIN APARTAMENTAI,€ 381,9.4,Wonderful,16
Kunigiskes apartment,€ 381,8.7,Excellent,38
Vytauto 91,€ 204,7.3,Good,18
Alkos namų apartamentai,€ 510,8.8,Excellent,58
D&D apartments 5,€ 361,9.7,Exceptional,10
Maironio 25,€ 373,8.7,Excellent,30
Žvejų apartamentai,€ 336,9.1,Wonderful,7
KEY for REST,€ 446,9.6,Exceptional,133
livingpalanga- Meta12,€ 276,9.0,Wonderful,37
Dviejų kambarių butas,€ 336,9.6,Exceptional,10
Kurortas Apartments,€ 276,8.9,Excellent,66
Orange Holiday,€ 336,9.8,Exceptional,125
Oldtown Jurates str.,€ 532,9.3,Wonderful,12
Seaside House With Terrace,€ 780,10,Exceptional,1
TAIKOS 8,€ 254,10,Exceptional,58
Dviejų miegamųjų apartamentai Plytų g.,€ 616,8.5,Very Good,2
Edelweiss Apartments Economy,€ 260,8.2,Very Good,17
Edžio apartamentai,€ 333,9.6,Exceptional,69
Vila Sonata Palanga,€ 324,8.8,Excellent,163
Comfort Apartments Palanga,€ 606,8.6,Excellent,35
Gintarautojai,€ 366,9.2,Wonderful,60
Paliepgiris,€ 198,9.5,Exceptional,78
Guesthouse Svečiuose pas Gražina,€ 195,8.7,Excellent,153
Jūros Link,€ 576,10,Exceptional,27
Aido takas 4 Holiday Home,"€ 1,056",10,Exceptional,11
Vėžių apartamentai ant Rąžės upelio kranto,€ 286,9.3,Wonderful,22
Pasaka Palanga,€ 488,9.6,Exceptional,248
VillaLa,€ 335,8.9,Excellent,75
Apartamentai prie Lino,€ 180,7.1,Good,7
VL apartamentai,€ 280,9.4,Wonderful,163
Amber Coast Apartments Palanga,€ 250,9.4,Wonderful,137
Janinos butas centre,€ 384,9.2,Wonderful,29
Pas Vilma,€ 346,9.6,Exceptional,39
TAIKOS 8,€ 254,10,Exceptional,58
Dviejų miegamųjų apartamentai Plytų g.,€ 616,8.5,Very Good,2
Edžio apartamentai,€ 333,9.6,Exceptional,69
JM Apartamentai,€ 341,10,Exceptional,1
Edelweiss Apartments Economy,€ 260,8.2,Very Good,17
Vila Sonata Palanga,€ 324,8.8,Excellent,163
Comfort Apartments Palanga,€ 606,8.6,Excellent,35
"''MB'' apartamentai Mano jūra 2 komplekse, Kunigiškiai",€ 263,9.6,Exceptional,7
Mėguvos butai,€ 231,8.6,Excellent,53
Cozy Seaside Studio,€ 243,8.4,Very Good,45
Gintarautojai,€ 366,9.2,Wonderful,60
Paliepgiris,€ 198,9.5,Exceptional,78
Guesthouse Svečiuose pas Gražina,€ 195,8.7,Excellent,153
Jūros Link,€ 576,10,Exceptional,27
Aido takas 4 Holiday Home,"€ 1,056",10,Exceptional,11
Vėžių apartamentai ant Rąžės upelio kranto,€ 286,9.3,Wonderful,22
Pasaka Palanga,€ 488,9.6,Exceptional,248
Saulėlydžio apartamentai,€ 263,10,Exceptional,1
VillaLa,€ 335,8.9,Excellent,75
Apartamentai prie Lino,€ 180,7.1,Good,7
Amber Coast Apartments Palanga,€ 250,9.4,Wonderful,137
Old Mill Apartment,€ 474,8.0,Very Good,1
Bangų namai - PALANGA apartamentai,€ 874,10,Exceptional,2
Mėlyna Jūra su baseinu,€ 357,8.0,Very Good,1
Erdvus 3 kambarių butas prie Botanikos parko,€ 726,8.3,Very Good,3
Mano Jura,€ 756,9.5,Exceptional,24
PALANGA BANGU APARTAMENTAI,€ 346,9.5,Exceptional,2
Žilvinas Hotel,€ 723,9.1,Wonderful,688
FIFTY SHADES OF GREY,€ 786,7.5,Good,2
Palmes Pirmas Sezonas Palanga,€ 796,9.5,Exceptional,31
Elenos modernūs apartamentai Šventojoje (100 m iki jūros),€ 499,9.7,Exceptional,3
Mano jura 2-Apartments,€ 456,9.3,Wonderful,9
Svečių namai Tuopa Nemirsetoje Palangoje,€ 173,9.0,Wonderful,3
Alanga apartament,€ 309,9.2,Wonderful,10
Gero poilsio apartamentai ADRIS,€ 392,9.2,Wonderful,6
Mobilūs nameliai 'Zelma',€ 216,9.1,Wonderful,45
Apartamentai VĖJAS,€ 741,9.5,Exceptional,4
Svečių namai Erna,€ 126,8.8,Excellent,28
VyJo Home,€ 291,8.3,Very Good,4
Šventoji Elija,€ 753,10,Exceptional,4
Alyvų Vila - Palanga All House Just For You,€ 756,7.2,Good,4
Raudonų plytų apartamentai,€ 300,10,Exceptional,3
Ant Bangos,€ 381,9.9,Exceptional,34
Garden Cottage,€ 325,10,Exceptional,11
Vila „Perkūnas“,"€ 1,206",9.7,Exceptional,14
INKARAS Aparthotel,€ 435,10,Exceptional,44
Cozy Apartment Pool View,€ 294,9.0,Wonderful,13
Mėlynoji klasika,€ 546,9.8,Exceptional,9
v12 Palanga,€ 576,9.2,Wonderful,6
Butas Palangoje,€ 294,8.5,Very Good,8
Dobilas ir Jura apartamentai,€ 246,9.8,Exceptional,24
V&V Apartments,€ 330,10,Exceptional,1
Vila PREMA,€ 606,9.8,Exceptional,26
Black amber,€ 603,10,Exceptional,7
Lighthouse Apartment Šventosios Vartai,€ 501,9.7,Exceptional,12
Carpe diem,€ 334,8.3,Very Good,29
Eligija,€ 414,8.4,Very Good,27
"Patogūs apartamentai Palangos centre, Vytauto g 53",€ 450,8.3,Very Good,21
Vila Agota,€ 906,9.6,Exceptional,11
J Basanavičiaus apartaments with view No 2,€ 798,8.1,Very Good,32
Kotedžas poilsiui,"€ 1,119",9.4,Wonderful,5
Cozy Home Sventosios vartai,€ 393,9.7,Exceptional,64
Livingpalanga Meta su balkonu,€ 231,9.2,Wonderful,61
Mėnulio apartamentai,€ 459,10,Exceptional,2
Neringos apartamentai,€ 666,9.0,Wonderful,55
SIRENA,€ 391,9.4,Wonderful,89
Los Palangelė,€ 189,7.0,Good,16
Pas Jolanta,€ 168,8.9,Excellent,169
Palanga Mo namas,€ 206,9.2,Wonderful,34
Vila Pas Justiną,€ 156,8.1,Very Good,70
Šalia Birutės parko 2,€ 222,8.1,Very Good,10
Vanagupės g 7H-2,€ 405,9.4,Wonderful,5
N-22,€ 306,9.0,Wonderful,44
Saulėlydžio apartamentai,€ 276,9.3,Wonderful,63
Centro Apartment,€ 221,8.3,Very Good,15
Kunigiskes apartment,€ 381,8.7,Excellent,38
Maironio 25,€ 373,8.7,Excellent,30
Palangos Grafų Lankos Nr-5,€ 296,9.0,Wonderful,2
Pas Elvyrą,€ 176,8.9,Excellent,87
Strazdų Namelis,€ 279,9.1,Wonderful,18
Apartamentai Sunny beach,€ 535,9.6,Exceptional,7
ToVa Apartamentai,€ 585,10,Exceptional,1
P7 Palanga,€ 426,8.6,Excellent,116
Pas Bani,€ 216,9.4,Wonderful,107
Apartamentai Vanagupės rajone,€ 141,8.8,Excellent,257
Vila Sraige,€ 396,9.2,Wonderful,47
Vieno kambario butas-studija,€ 336,9.7,Exceptional,3
Palanga ''Pajūrio rezidencija'',€ 606,9.0,Wonderful,9
Poilsis pas Virginiją,€ 357,9.5,Exceptional,49
Apartmentai Baltoji Ramune,€ 95,7.6,Good,61
Mar Baltico Palanga Apartment,€ 426,9.6,Exceptional,24
Naujos statybos butas - Ganyklų g.,€ 352,7.8,Good,9
Smilga,€ 246,9.3,Wonderful,65
Smilčių Trio keturviečiai apartamentai su terasa,€ 780,9.5,Exceptional,43
Green House,€ 779,8.8,Excellent,44
Sveciu Namas 9,€ 340,9.3,Wonderful,117
Igno Palėpė,€ 246,9.5,Exceptional,39
Palanga Center Studios,€ 421,9.3,Wonderful,86
Kranto Vila,€ 492,9.4,Wonderful,21
Vlados aprtamentai,€ 316,8.5,Very Good,45
Seaside Apartments,€ 366,9.4,Wonderful,69
VitaVila,€ 426,9.5,Exceptional,33
Ievų vila,€ 456,9.4,Wonderful,14
7 Sakalai,€ 216,8.9,Excellent,37
Guest House Lotus,€ 216,7.8,Good,56
Eimio Vila,€ 396,8.8,Excellent,96
Vila Tekila,€ 392,7.9,Good,86
Columba Livia Guesthouse,€ 606,8.2,Very Good,157
Po Kastonu & SPA,€ 426,8.1,Very Good,251
Palangos Vila Apartments,€ 336,9.5,Exceptional,77
N-22,€ 306,9.0,Wonderful,44
Ošia ošia apartamentai,€ 465,9.5,Exceptional,20
Gradiali Wellness and SPA,€ 670,8.8,Excellent,"3,187"
Strazdų Namelis,€ 279,9.1,Wonderful,18
Diamond Beach Apartments,€ 261,10,Exceptional,6
Best Baltic Hotel Palanga,€ 354,7.2,Good,"1,283"
Guest House Aštuoni,€ 606,9.5,Exceptional,197
Apartamentai Vanagupės rajone,€ 141,8.8,Excellent,257
Žuvėdra,"€ 1,406",8.7,Excellent,"2,347"
Apartamentai Pas Kaju,€ 366,10,Exceptional,1
Hotel Pušų paunksnėje,"€ 1,203",9.6,Exceptional,370
‘Audronė’ svečių namai,€ 411,10,Exceptional,1
Pajūrio Gintaro apartamentai,€ 606,9.0,Wonderful,76
KEY for REST,€ 446,9.6,Exceptional,133
"Vila""Anna""",€ 231,8.2,Very Good,458
Palanga Visit Apartments and SPA,€ 644,9.5,Exceptional,348
Vip VASARA,"€ 1,056",9.8,Exceptional,21
Sand Apartament,€ 465,9.5,Exceptional,26
Sakalo 9 kotedžas Palangoje,€ 536,10,Exceptional,1
D&R poilsis Palangoje,€ 276,9.8,Exceptional,9
Sand Apartament,€ 465,9.5,Exceptional,26
Sakalo 9 kotedžas Palangoje,€ 536,10,Exceptional,1
D&R poilsis Palangoje,€ 276,9.8,Exceptional,9
Vila Vakaré,€ 261,8.5,Very Good,139
Cozy Apartment Pool View,€ 294,9.0,Wonderful,13
Neptūno Vila,"€ 1,803",10,Exceptional,2
"Svečių namai Tuopa, Palanga",€ 187,9.0,Wonderful,1
Studentiški apartamentai Palangoje,€ 168,7.7,Good,3
A.R.B,€ 878,8.5,Very Good,2
"Gyvenamas namas su atskiru įėjimu svečiams. 2 aukštas, 2 kambariai (4miegamos vietos), vienas iš jų su virtuve, atskiras wc, dušas",€ 302,4.0,Review score,2
Modern Loft Garage - Mano Jura,"€ 1,146",10,Exceptional,2
Bangų apartamentai,€ 516,9.0,Wonderful,1
Трехкомнатное жилье для отдыха у моря,€ 546,9.0,Wonderful,6
Namelis Palangoje,€ 438,8.2,Very Good,11
V&V Apartments,€ 330,10,Exceptional,1
Jaukus butas ramiam poilsiui Šventojoje,€ 276,8.7,Excellent,7
LIGHT home - Mano jūra 1 Kunigiškiai - by Hello Sea homes,€ 668,9.3,Wonderful,3
Malūno apartamentai,€ 559,8.5,Very Good,2
Samaná home - Mano jūra 2 Kunigiškiai - by Hello Sea homes,€ 627,10,Exceptional,8
Orchid stay,€ 314,9.8,Exceptional,9
Vėžių g 26 K5-11 buto nuoma,€ 249,9.6,Exceptional,20
Liuks Ajerų apartamentai 82 kv Beachfront,€ 870,10,Exceptional,3
Vasaros studio 2 apartamentai,€ 419,8.9,Excellent,24
Vasaros studio apartamentai,€ 396,9.8,Exceptional,30
CORAL SEA home - Mano jūra 1 Kunigiškiai - by Hello Sea homes,€ 834,8.8,Excellent,4
GT apartamentai,€ 594,9.8,Exceptional,9
Violetos apartamentai,€ 756,10,Exceptional,4
Apartamentai - Studio 444,€ 335,9.7,Exceptional,13
Vanagupės parko apartamentai,€ 696,9.3,Wonderful,6
2 Apartamentai prie jūros,€ 906,9.0,Wonderful,7
Vasaros apartamentai 1,€ 390,8.6,Excellent,38
Kunigiškių apartamentai,€ 756,9.8,Exceptional,8
Palanga old mill,€ 679,9.4,Wonderful,94
A&A Palanga Apartments,€ 495,9.8,Exceptional,51
Rita's Guest House,€ 246,9.5,Exceptional,13
Apartamentai Palangos centre,€ 321,9.5,Exceptional,2
Vila PRI Rouzes,€ 396,9.2,Wonderful,96
Smiltelės Apartamentai Booking Palanga LT,€ 486,8.3,Very Good,32
Birgitos Namai,"€ 3,306",7.0,Good,1
